Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.001       -2048.8533   -2056.8779       8.0246  2069.4
0.002       -2048.8043   -2055.7920       6.9877  1802.0
0.003       -2048.7965   -2054.7927       5.9962  1546.3
0.004       -2048.8058   -2054.0192       5.2134  1344.4
0.005       -2048.8171   -2053.4029       4.5858  1182.6
0.006       -2048.8166   -2052.8448       4.0282  1038.8
0.007       -2048.8176   -2052.3394       3.5218   908.2
0.008       -2048.8101   -2051.9546       3.1445   810.9
0.009       -2048.8168   -2051.7863       2.9695   765.8
0.010       -2048.8242   -2051.7953       2.9711   766.2
0.011       -2048.8329   -2051.9073       3.0744   792.8
0.012       -2048.8355   -2052.0765       3.2410   835.8
0.013       -2048.8313   -2052.3502       3.5189   907.4
0.014       -2048.8417   -2052.8076       3.9659  1022.7
0.015       -2048.8616   -2053.3314       4.4699  1152.7
0.016       -2048.8760   -2053.6714       4.7954  1236.6
0.017       -2048.8729   -2053.6741       4.8011  1238.1
0.018       -2048.8665   -2053.3755       4.5090  1162.8
0.019       -2048.8518   -2052.8963       4.0444  1043.0
0.020       -2048.8443   -2052.4073       3.5630   918.8
0.021       -2048.8336   -2052.0240       3.1904   822.7
0.022       -2048.8327   -2051.8345       3.0018   774.1
0.023       -2048.8350   -2051.8801       3.0451   785.3
0.024       -2048.8433   -2052.1855       3.3422   861.9
0.025       -2048.8629   -2052.7056       3.8427   990.9
0.026       -2048.8916   -2053.2059       4.3143  1112.6
0.027       -2048.8686   -2053.3096       4.4410  1145.2
0.028       -2048.8397   -2053.3858       4.5461  1172.3
0.029       -2048.8872   -2053.7788       4.8916  1261.4
0.030       -2048.8757   -2053.8959       5.0202  1294.6
0.031       -2048.8654   -2053.8385       4.9731  1282.4
0.032       -2048.8568   -2053.7797       4.9229  1269.5
