Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.001       -2048.6224   -2055.7396       7.1171  1835.3
0.002       -2048.9530   -2055.8400       6.8869  1776.0
0.003       -2048.8876   -2055.9473       7.0597  1820.5
0.004       -2048.7720   -2054.9055       6.1335  1581.7
0.005       -2048.7824   -2054.1864       5.4040  1393.6
0.006       -2048.7979   -2053.7440       4.9461  1275.5
0.007       -2048.7941   -2053.3968       4.6027  1186.9
0.008       -2048.7919   -2053.1795       4.3875  1131.4
0.009       -2048.7862   -2053.1522       4.3659  1125.9
0.010       -2048.7875   -2053.3560       4.5685  1178.1
0.011       -2048.8045   -2053.7674       4.9629  1279.8
0.012       -2048.8262   -2054.2390       5.4128  1395.8
0.013       -2048.8628   -2054.4821       5.6193  1449.1
0.014       -2048.8742   -2054.1179       5.2437  1352.2
0.015       -2048.6998   -2053.3534       4.6535  1200.0
