Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.001       -2048.8755   -2056.9074       8.0319  2071.2
0.002       -2048.8111   -2056.1967       7.3856  1904.6
0.003       -2048.8807   -2055.9530       7.0723  1823.8
0.004       -2048.8512   -2055.2736       6.4224  1656.2
0.005       -2048.8135   -2054.3673       5.5538  1432.2
0.006       -2048.8090   -2053.5797       4.7707  1230.2
0.007       -2048.8112   -2052.9862       4.1750  1076.6
0.008       -2048.8167   -2052.5747       3.7580   969.1
0.009       -2048.8203   -2052.3043       3.4840   898.4
0.010       -2048.8307   -2052.1423       3.3116   854.0
0.011       -2048.8302   -2052.0642       3.2339   834.0
0.012       -2048.8455   -2052.1110       3.2655   842.1
0.013       -2048.8527   -2052.2695       3.4168   881.1
0.014       -2048.8406   -2052.5696       3.7290   961.6
0.015       -2048.8591   -2053.1416       4.2825  1104.4
0.016       -2048.8924   -2053.7700       4.8776  1257.8
0.017       -2048.8816   -2054.1280       5.2465  1352.9
0.018       -2048.8754   -2054.3237       5.4483  1405.0
0.019       -2048.8925   -2054.4123       5.5198  1423.4
0.020       -2048.8851   -2054.2079       5.3228  1372.6
0.021       -2048.8642   -2053.7191       4.8549  1252.0
0.022       -2048.8696   -2053.1094       4.2398  1093.3
0.023       -2048.8641   -2052.4004       3.5363   911.9
0.024       -2048.8141   -2051.8692       3.0551   787.8
0.025       -2048.8329   -2052.2147       3.3819   872.1
0.026       -2048.9155   -2053.1586       4.2431  1094.2
0.027       -2048.9256   -2053.6659       4.7403  1222.4
0.028       -2048.9211   -2053.5423       4.6212  1191.7
0.029       -2049.0096   -2052.8605       3.8509   993.1
