Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.001       -2048.9132   -2057.3470       8.4339  2174.9
0.002       -2048.9103   -2057.1193       8.2090  2116.9
0.003       -2048.9086   -2056.7887       7.8801  2032.1
0.004       -2048.8970   -2056.3842       7.4872  1930.8
0.005       -2048.8897   -2056.0717       7.1820  1852.1
0.006       -2048.8886   -2055.9508       7.0623  1821.2
0.007       -2048.8917   -2056.0049       7.1132  1834.3
0.008       -2048.9064   -2056.1356       7.2292  1864.2
0.009       -2048.8988   -2056.2225       7.3237  1888.6
0.010       -2048.8956   -2056.3909       7.4954  1932.9
0.011       -2048.9225   -2056.6821       7.7595  2001.0
0.012       -2048.9333   -2056.7469       7.8136  2014.9
0.013       -2048.9089   -2056.4100       7.5011  1934.4
0.014       -2048.8650   -2055.9524       7.0875  1827.7
0.015       -2048.8901   -2055.8021       6.9120  1782.4
0.016       -2048.8988   -2055.7491       6.8503  1766.5
0.017       -2048.8872   -2055.5700       6.6828  1723.3
0.018       -2048.8527   -2055.4403       6.5876  1698.8
0.019       -2048.8853   -2055.7456       6.8602  1769.1
0.020       -2048.9136   -2056.1166       7.2031  1857.5
0.021       -2048.8959   -2056.1603       7.2644  1873.3
0.022       -2048.8632   -2056.0792       7.2160  1860.8
0.023       -2048.8867   -2056.2426       7.3559  1896.9
0.024       -2048.9003   -2056.4131       7.5128  1937.4
0.025       -2048.8896   -2056.3770       7.4874  1930.8
0.026       -2048.8802   -2056.2480       7.3677  1900.0
