Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.001       -2048.8721   -2057.2989       8.4268  2173.1
0.002       -2048.9023   -2057.1587       8.2564  2129.1
0.003       -2048.9036   -2056.8722       7.9686  2054.9
0.004       -2048.8920   -2056.4247       7.5327  1942.5
0.005       -2048.9154   -2055.9557       7.0403  1815.5
0.006       -2048.9336   -2055.3323       6.3987  1650.1
0.007       -2048.8917   -2054.5417       5.6500  1457.0
0.008       -2048.8624   -2054.2203       5.3579  1381.7
0.009       -2048.9050   -2054.7540       5.8491  1508.3
0.010       -2048.9273   -2055.5396       6.6123  1705.2
0.011       -2048.9229   -2056.2100       7.2871  1879.2
0.012       -2049.0248   -2056.7529       7.7281  1992.9
0.013       -2049.1681   -2055.8256       6.6575  1716.8
0.014       -2048.6047   -2054.6459       6.0412  1557.9
0.015       -2048.9613   -2057.0054       8.0441  2074.4
0.016       -2048.7758   -2056.6690       7.8931  2035.5
0.017       -2048.7312   -2055.8466       7.1155  1834.9
0.018       -2048.7554   -2055.2994       6.5440  1687.5
0.019       -2048.7601   -2054.9206       6.1606  1588.7
0.020       -2048.7464   -2054.5619       5.8154  1499.7
0.021       -2048.7407   -2054.2637       5.5230  1424.3
0.022       -2048.7380   -2054.0976       5.3596  1382.1
0.023       -2048.7415   -2054.1062       5.3646  1383.4
0.024       -2048.7473   -2054.2764       5.5291  1425.8
0.025       -2048.7502   -2054.5473       5.7971  1494.9
0.026       -2048.7446   -2054.9201       6.1756  1592.5
0.027       -2048.7394   -2055.6318       6.8923  1777.4
0.028       -2048.8751   -2056.7301       7.8550  2025.6
0.029       -2049.1902   -2056.1466       6.9564  1793.9
0.030       -2048.0750   -2053.9238       5.8488  1508.3
