Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.001       -2048.5793   -2056.2952       7.7159  1989.8
0.002       -2048.5822   -2055.0490       6.4668  1667.6
0.003       -2048.6078   -2054.1458       5.5380  1428.1
0.004       -2048.5932   -2053.2119       4.6187  1191.1
0.005       -2048.5756   -2052.3046       3.7290   961.6
0.006       -2048.5668   -2051.6044       3.0376   783.3
0.007       -2048.5645   -2051.2418       2.6773   690.4
0.008       -2048.5625   -2051.2711       2.7085   698.5
0.009       -2048.5677   -2051.6915       3.1238   805.5
0.010       -2048.5869   -2052.3956       3.8087   982.2
0.011       -2048.6110   -2053.1321       4.5211  1165.9
0.012       -2048.5913   -2053.6998       5.1086  1317.4
0.013       -2048.6183   -2054.3469       5.7286  1477.3
0.014       -2048.6758   -2054.8185       6.1426  1584.0
0.015       -2048.6378   -2054.6164       5.9786  1541.7
0.016       -2048.5771   -2054.3383       5.7612  1485.7
0.017       -2048.6189   -2054.6798       6.0608  1562.9
0.018       -2048.6459   -2055.2450       6.5991  1701.8
0.019       -2048.6352   -2055.6469       7.0118  1808.2
0.020       -2048.6131   -2055.9390       7.3258  1889.2
0.021       -2048.6318   -2056.2780       7.6462  1971.8
0.022       -2048.6747   -2056.4333       7.7586  2000.8
0.023       -2048.6535   -2055.9815       7.3280  1889.7
0.024       -2048.5991   -2055.1705       6.5714  1694.6
