Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.001       -2048.4570   -2055.8929       7.4358  1917.5
0.002       -2048.4480   -2054.0042       5.5562  1432.8
0.003       -2048.4534   -2052.5193       4.0659  1048.5
0.004       -2048.4475   -2051.4096       2.9621   763.9
0.005       -2048.4446   -2050.7255       2.2810   588.2
0.006       -2048.4393   -2050.5110       2.0718   534.3
0.007       -2048.4410   -2050.7964       2.3553   607.4
0.008       -2048.4537   -2051.5736       3.1199   804.6
0.009       -2048.5355   -2052.6530       4.1175  1061.8
0.010       -2048.7509   -2052.7634       4.0125  1034.7
0.011       -2047.9624   -2051.4382       3.4758   896.3
0.012       -2048.5769   -2054.6855       6.1086  1575.3
0.013       -2048.3606   -2055.5295       7.1689  1848.7
0.014       -2048.5404   -2055.8468       7.3064  1884.1
0.015       -2049.0439   -2052.7389       3.6950   952.8
0.016       -2048.7279   -2051.8054       3.0775   793.6
0.017       -2048.2910   -2054.5744       6.2834  1620.3
0.018       -2048.0516   -2053.5582       5.5066  1420.0
0.019       -2048.0709   -2052.9084       4.8375  1247.5
0.020       -2048.0768   -2052.7208       4.6440  1197.6
0.021       -2048.1228   -2052.8489       4.7261  1218.7
0.022       -2048.3106   -2052.4766       4.1660  1074.3
0.023       -2047.7641   -2049.8207       2.0566   530.4
0.024       -2048.4443   -2051.2319       2.7876   718.9
0.025       -2048.2661   -2051.5382       3.2721   843.8
0.026       -2048.1894   -2050.8995       2.7101   698.9
0.027       -2048.1854   -2050.5315       2.3461   605.0
