Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.001       -2048.8343   -2056.7134       7.8791  2031.8
0.002       -2048.7560   -2055.4207       6.6646  1718.7
0.003       -2048.7440   -2054.4355       5.6915  1467.7
0.004       -2048.7409   -2053.7966       5.0557  1303.8
0.005       -2048.7529   -2053.3887       4.6359  1195.5
0.006       -2048.7668   -2053.0443       4.2775  1103.1
0.007       -2048.7534   -2052.6062       3.8528   993.6
0.008       -2048.7229   -2052.2620       3.5391   912.7
0.009       -2048.7415   -2052.3054       3.5639   919.0
0.010       -2048.7450   -2052.4264       3.6814   949.3
0.011       -2048.7352   -2052.4570       3.7218   959.8
0.012       -2048.7308   -2052.5163       3.7854   976.2
0.013       -2048.7333   -2052.7006       3.9673  1023.1
0.014       -2048.7394   -2053.0149       4.2755  1102.6
0.015       -2048.7536   -2053.3880       4.6344  1195.1
0.016       -2048.7708   -2053.6685       4.8977  1263.0
0.017       -2048.7631   -2053.7410       4.9779  1283.7
0.018       -2048.7584   -2053.8655       5.1072  1317.0
0.019       -2048.7935   -2054.2368       5.4434  1403.7
0.020       -2048.8051   -2054.4990       5.6940  1468.3
0.021       -2048.7939   -2054.5580       5.7640  1486.4
0.022       -2048.7993   -2054.5983       5.7990  1495.4
0.023       -2048.8011   -2054.7100       5.9089  1523.8
0.024       -2048.8053   -2054.9023       6.0970  1572.3
0.025       -2048.8227   -2055.0894       6.2666  1616.0
0.026       -2048.8289   -2055.0841       6.2553  1613.1
0.027       -2048.7992   -2054.8625       6.0633  1563.6
0.028       -2048.8054   -2054.7847       5.9793  1541.9
0.029       -2048.8282   -2054.7902       5.9619  1537.4
0.030       -2048.8124   -2054.5642       5.7517  1483.2
0.031       -2048.7974   -2054.2146       5.4172  1397.0
0.032       -2048.7922   -2053.9265       5.1343  1324.0
0.033       -2048.7886   -2053.7841       4.9955  1288.2
0.034       -2048.7917   -2053.7950       5.0033  1290.2
0.035       -2048.8070   -2053.8829       5.0759  1308.9
0.036       -2048.8124   -2053.8952       5.0828  1310.7
0.037       -2048.7873   -2053.8221       5.0347  1298.3
0.038       -2048.8033   -2053.9221       5.1188  1320.0
0.039       -2048.8191   -2054.0714       5.2523  1354.4
0.040       -2048.8169   -2054.0559       5.2390  1351.0
0.041       -2048.8157   -2053.9473       5.1316  1323.3
