Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.001       -2048.8316   -2056.8827       8.0512  2076.2
0.002       -2048.7863   -2056.0003       7.2141  1860.3
0.003       -2048.7827   -2055.3880       6.6052  1703.3
0.004       -2048.7816   -2054.9550       6.1734  1592.0
0.005       -2048.7734   -2054.6243       5.8509  1508.8
0.006       -2048.7688   -2054.4379       5.6691  1461.9
0.007       -2048.7602   -2054.4008       5.6406  1454.6
0.008       -2048.7620   -2054.4983       5.7363  1479.3
0.009       -2048.7825   -2054.6697       5.8872  1518.2
0.010       -2048.8023   -2054.8428       6.0406  1557.7
0.011       -2048.7927   -2055.0211       6.2285  1606.2
0.012       -2048.7968   -2055.3536       6.5568  1690.9
0.013       -2048.8180   -2055.7814       6.9634  1795.7
0.014       -2048.8261   -2056.0776       7.2515  1870.0
0.015       -2048.8259   -2056.2135       7.3876  1905.1
0.016       -2048.8223   -2056.2638       7.4415  1919.0
0.017       -2048.8202   -2056.3005       7.4802  1929.0
0.018       -2048.8220   -2056.3457       7.5237  1940.2
0.019       -2048.8237   -2056.3441       7.5203  1939.3
0.020       -2048.8012   -2056.2565       7.4553  1922.6
0.021       -2048.8012   -2056.1881       7.3870  1904.9
0.022       -2048.7995   -2056.0919       7.2924  1880.5
0.023       -2048.7963   -2055.9679       7.1716  1849.4
0.024       -2048.7982   -2055.7660       6.9677  1796.8
0.025       -2048.7834   -2055.4191       6.6357  1711.2
0.026       -2048.7664   -2055.1184       6.3520  1638.0
0.027       -2048.7703   -2055.0337       6.2634  1615.2
0.028       -2048.7744   -2055.1313       6.3569  1639.3
0.029       -2048.7763   -2055.3166       6.5403  1686.6
0.030       -2048.7837   -2055.4994       6.7157  1731.8
0.031       -2048.7885   -2055.6117       6.8232  1759.5
0.032       -2048.7730   -2055.6995       6.9265  1786.2
0.033       -2048.7768   -2055.9601       7.1833  1852.4
0.034       -2048.8044   -2056.3317       7.5273  1941.1
0.035       -2048.8011   -2056.4655       7.6645  1976.5
0.036       -2048.7901   -2056.3187       7.5286  1941.5
0.037       -2048.7846   -2056.0882       7.3036  1883.4
